store,Sum of longitude,Sum of latitude
"McDonalds [WM]-Anaheim,CA",-117.941454,33.836954
"McDonalds [WM]-Antelope,CA",-121.39205,38.71235
"McDonalds [WM]-Antioch,CA",-121.76432,37.96213
"McDonalds [WM]-Arroyo Grande,CA",-120.59721,35.1267
"McDonalds [WM]-Bakersfield,CA",-357.08483,106.09235
"McDonalds [WM]-Barstow,CA",-116.99359,34.88179
"McDonalds [WM]-Brea,CA",-117.847619,33.90719
"McDonalds [WM]-Buena Park,CA",-117.98627,33.84662
"McDonalds [WM]-Ceres,CA",-120.93861,37.60669
"McDonalds [WM]-Cerritos,CA",-118.0614,33.87046
"McDonalds [WM]-Chico,CA",-121.841985,39.73201
"McDonalds [WM]-Chula Vista,CA",-117.09503,32.64557
"McDonalds [WM]-Clovis,CA",-119.716348,36.808697
"McDonalds [WM]-Corona,CA",-117.540752,33.845746
"McDonalds [WM]-Covina,CA",-117.907921,34.102707
"McDonalds [WM]-Dinuba,CA",-119.385689,36.544239
"McDonalds [WM]-Duarte,CA",-117.98616,34.13412
"McDonalds [WM]-El Cajon,CA",-116.901472,32.825293
"McDonalds [WM]-Elk Grove,CA",-121.39156,38.40931
"McDonalds [WM]-Fairfield,CA",-122.08376,38.23732
"McDonalds [WM]-Folsom,CA",-121.16646,38.67084
"McDonalds [WM]-Fontana,CA",-117.428386,34.106512
"McDonalds [WM]-Fremont,CA",-121.986527,37.519048
"McDonalds [WM]-Fresno,CA",-359.366727,110.285292
"McDonalds [WM]-Gilroy,CA",-121.557039,37.0051
"McDonalds [WM]-Hanford,CA",-119.672894,36.337905
"McDonalds [WM]-Highland,CA",-117.19719,34.13594
"McDonalds [WM]-Huntington Beach,CA",-117.98307,33.70107
"McDonalds [WM]-La Mesa,CA",-117.00975,32.77981
"McDonalds [WM]-La Quinta,CA",-116.294309,33.71461
"McDonalds [WM]-Laguna Niguel,CA",-117.71539,33.5636
"McDonalds [WM]-Lake Elsinore,CA",-117.29429,33.65894
"McDonalds [WM]-Lakewood,CA",-118.156575,33.832213
"McDonalds [WM]-Lancaster,CA",-118.0984,34.68973
"McDonalds [WM]-Lodi,CA",-121.30381,38.115258
"McDonalds [WM]-Lompoc,CA",-120.465633,34.661022
"McDonalds [WM]-Long Beach,CA",-236.282654,67.604332
"McDonalds [WM]-Los Angeles,CA",-236.909348,68.048027
"McDonalds [WM]-Los Banos,CA",-120.88048,37.05665
"McDonalds [WM]-Madera,CA",-120.08107,36.97478
"McDonalds [WM]-Manteca,CA",-121.21621,37.78639
"McDonalds [WM]-Martinez,CA",-122.10925,37.99579
"McDonalds [WM]-Merced,CA",-120.49979,37.31765
"McDonalds [WM]-Milpitas,CA",-121.91953,37.43124
"McDonalds [WM]-Modesto,CA",-121.03562,37.67187
"McDonalds [WM]-Mountain View,CA",-122.10892,37.40054
"McDonalds [WM]-Murrieta,CA",-117.19521,33.55312
"McDonalds [WM]-Oakland,CA",-122.235969,37.776645
"McDonalds [WM]-Oceanside,CA",-234.679054,66.37485
"McDonalds [WM]-Orange,CA",-117.836293,33.827813
"McDonalds [WM]-Oxnard,CA",-119.15846,34.22009
"McDonalds [WM]-Palmdale,CA",-236.161582,69.13518
"McDonalds [WM]-Paramount,CA",-118.14304,33.902282
"McDonalds [WM]-Paso Robles,CA",-120.681597,35.613006
"McDonalds [WM]-Perris,CA",-117.22636,33.8187
"McDonalds [WM]-Pico Rivera,CA",-118.10391,33.98668
"McDonalds [WM]-Pittsburg,CA",-121.87003,38.00968
"McDonalds [WM]-Pleasanton,CA",-121.8841,37.70029
"McDonalds [WM]-Pomona,CA",-117.76163,34.02758
"McDonalds [WM]-Porter Ranch,CA",-118.56678,34.27525
"McDonalds [WM]-Porterville,CA",-119.04535,36.08054
"McDonalds [WM]-Poway,CA",-117.04039,32.95898
"McDonalds [WM]-Rancho Cordova,CA",-121.290806,38.595263
"McDonalds [WM]-Rancho Cucamonga,CA",-117.5293,34.10608
"McDonalds [WM]-Red Bluff,CA",-122.228227,40.162945
"McDonalds [WM]-Redding,CA",-122.343881,40.585561
"McDonalds [WM]-Redlands,CA",-117.22401,34.06324
"McDonalds [WM]-Rialto,CA",-117.370538,34.07268
"McDonalds [WM]-Riverside,CA",-234.73786,67.878159
"McDonalds [WM]-Rocklin,CA",-121.234404,38.790075
"McDonalds [WM]-Rohnert Park,CA",-122.71492,38.36853
"McDonalds [WM]-Rosemead,CA",-118.076538,34.0807
"McDonalds [WM]-Roseville,CA",-121.25787,38.74852
"McDonalds [WM]-Sacramento,CA",-242.832409,77.34392
"McDonalds [WM]-Salinas,CA",-121.66651,36.70591
"McDonalds [WM]-San Diego,CA",-351.201462,98.127498
"McDonalds [WM]-San Dimas,CA",-117.803839,34.10668
"McDonalds [WM]-San Jose,CA",-121.800319,37.254718
"McDonalds [WM]-San Leandro,CA",-122.18078,37.71798
"McDonalds [WM]-Santa Ana,CA",-117.917253,33.738198
"McDonalds [WM]-Santa Clarita,CA",-237.07548,68.796613
"McDonalds [WM]-Santa Fe Springs,CA",-118.049172,33.940738
"McDonalds [WM]-Santa Maria,CA",-120.42175,34.92025
"McDonalds [WM]-Santee,CA",-116.98764,32.84244
"McDonalds [WM]-Simi Valley,CA",-118.80007,34.28366
"McDonalds [WM]-Stockton,CA",-121.274908,38.021288
"McDonalds [WM]-Temecula,CA",-117.095774,33.481572
"McDonalds [WM]-Tracy,CA",-121.47233,37.75389
"McDonalds [WM]-Tulare,CA",-119.330334,36.226125
"McDonalds [WM]-Turlock,CA",-120.87221,37.5074
"McDonalds [WM]-Union City,CA",-122.06915,37.604
"McDonalds [WM]-Upland,CA",-117.67859,34.10678
"McDonalds [WM]-Vacaville,CA",-121.95876,38.36295
"McDonalds [WM]-Victorville,CA",-117.33086,34.4707
"McDonalds [WM]-Visalia,CA",-119.272547,36.32599
"McDonalds [WM]-Westminster,CA",-117.99014,33.7659
"McDonalds [WM]-Windsor,CA",-122.79018,38.52687
"McDonalds [WM]-Yuba City,CA",-121.615984,39.14125
"McDonalds [WM]-Yucca Valley,CA",-116.398394,34.127829
"McDonalds PlayPlace]-Lemon Grove,CA",-117.043548,32.742741
"McDonalds PlayPlace-Alameda,CA",-122.27618,37.77154
"McDonalds PlayPlace-Alhambra,CA",-118.11768,34.09967
